timestamp,line_id,product_type,machine_speed,oee,availability,performance,quality,production_time,planned_production_time,good_pieces,total_pieces
2024-02-22 05:20:26.637849,L1,Fond_Carre_Poignees_Torsadees,1220,70.69,74.48,72.09,61.37,60,60,528,862
2024-02-22 05:20:26.637849,L2,Fond_Carre_Poignees_Plates,1139,63.94,60.72,62.76,63.02,60,60,458,728
2024-02-22 05:20:26.637849,L3,Fond_Plat,918,66.12,67.49,63.21,64.78,60,60,392,606
2024-02-22 06:20:26.637849,L1,Fond_Plat,932,79.12,76.94,80.05,77.12,60,60,568,737
2024-02-22 06:20:26.637849,L2,Fond_Carre_Poignees_Plates,949,72.39,70.35,72.67,72.0,60,60,494,687
2024-02-22 06:20:26.637849,L3,Fond_Carre_Poignees_Torsadees,861,66.55,64.46,67.89,67.94,60,60,388,572
2024-02-22 07:20:26.637849,L1,Fond_Carre_Poignees_Plates,1091,75.62,72.49,75.14,76.64,60,60,631,824
2024-02-22 07:20:26.637849,L2,Fond_Carre_Sans_Poignees,1353,68.75,72.04,74.0,60.48,60,60,562,930
2024-02-22 07:20:26.637849,L3,Fond_Plat,869,65.91,67.89,65.97,67.93,60,60,388,572
2024-02-22 08:20:26.637849,L1,Fond_Carre_Poignees_Plates,1058,74.73,76.44,74.15,75.24,60,60,594,790
2024-02-22 08:20:26.637849,L2,Fond_Plat,968,73.81,69.9,76.09,74.49,60,60,531,714
2024-02-22 08:20:26.637849,L3,Fond_Plat,800,67.27,65.28,67.32,66.23,60,60,356,538
2024-02-22 09:20:26.637849,L1,Fond_Carre_Poignees_Torsadees,1215,76.02,74.91,82.38,68.25,60,60,629,923
2024-02-22 09:20:26.637849,L2,Fond_Carre_Sans_Poignees,1050,71.45,72.48,68.81,68.9,60,60,516,750
2024-02-22 09:20:26.637849,L3,Fond_Carre_Poignees_Torsadees,908,70.6,67.55,68.77,72.46,60,60,464,641
2024-02-22 10:20:26.637849,L1,Fond_Carre_Poignees_Plates,996,68.71,66.7,69.57,66.55,60,60,455,684
2024-02-22 10:20:26.637849,L2,Fond_Carre_Poignees_Torsadees,1136,72.92,70.97,76.27,72.56,60,60,600,828
2024-02-22 10:20:26.637849,L3,Fond_Carre_Poignees_Plates,884,68.94,65.48,67.62,70.52,60,60,429,609
2024-02-22 11:20:26.637849,L1,Fond_Carre_Poignees_Torsadees,921,76.0,76.41,73.09,76.73,60,60,536,699
2024-02-22 11:20:26.637849,L2,Fond_Plat,1171,71.37,70.86,73.49,68.92,60,60,575,835
2024-02-22 11:20:26.637849,L3,Fond_Plat,923,71.39,69.52,67.71,70.26,60,60,462,658
2024-02-22 12:20:26.637849,L1,Fond_Plat,989,74.43,71.11,70.65,73.24,60,60,539,736
2024-02-22 12:20:26.637849,L2,Fond_Carre_Poignees_Torsadees,1069,71.25,67.6,68.58,73.16,60,60,556,761
2024-02-22 12:20:26.637849,L3,Fond_Carre_Sans_Poignees,1186,64.13,64.33,68.38,59.18,60,60,449,760
2024-02-22 13:20:26.637849,L1,Fond_Carre_Poignees_Torsadees,966,77.38,76.59,75.06,79.69,60,60,595,747
2024-02-22 13:20:26.637849,L2,Fond_Carre_Poignees_Torsadees,1047,70.57,71.07,68.34,71.39,60,60,526,738
2024-02-22 13:20:26.637849,L3,Fond_Carre_Poignees_Plates,856,67.46,65.1,66.35,69.09,60,60,398,577
2024-02-22 14:20:26.637849,L1,Fond_Carre_Sans_Poignees,1014,79.05,75.6,82.19,76.19,60,60,610,801
2024-02-22 14:20:26.637849,L2,Fond_Carre_Poignees_Torsadees,1196,77.55,74.12,79.62,78.31,60,60,725,927
2024-02-22 14:20:26.637849,L3,Fond_Plat,849,70.34,71.82,69.49,71.12,60,60,424,597
2024-02-22 15:20:26.637849,L1,Fond_Plat,995,81.45,83.47,81.57,83.91,60,60,679,810
2024-02-22 15:20:26.637849,L2,Fond_Plat,1041,70.52,72.14,71.5,68.32,60,60,501,734
2024-02-22 15:20:26.637849,L3,Fond_Plat,883,72.41,71.91,70.74,72.0,60,60,460,639
2024-02-22 16:20:26.637849,L1,Fond_Carre_Poignees_Plates,1033,83.57,87.39,85.98,84.64,60,60,730,863
2024-02-22 16:20:26.637849,L2,Fond_Carre_Poignees_Torsadees,1282,61.17,61.48,61.2,53.95,60,60,422,784
2024-02-22 16:20:26.637849,L3,Fond_Carre_Poignees_Torsadees,862,67.49,67.35,64.24,66.55,60,60,386,581
2024-02-22 17:20:26.637849,L1,Fond_Carre_Poignees_Torsadees,943,79.32,83.33,80.91,76.92,60,60,574,747
2024-02-22 17:20:26.637849,L2,Fond_Carre_Poignees_Plates,1052,76.26,76.82,77.36,76.21,60,60,611,802
2024-02-22 17:20:26.637849,L3,Fond_Carre_Poignees_Plates,946,66.12,66.93,65.91,67.71,60,60,423,625
2024-02-22 18:20:26.637849,L1,Fond_Carre_Poignees_Plates,972,80.63,82.14,77.53,77.46,60,60,606,783
2024-02-22 18:20:26.637849,L2,Fond_Carre_Sans_Poignees,1119,75.64,75.19,72.71,72.75,60,60,615,846
2024-02-22 18:20:26.637849,L3,Fond_Plat,880,71.3,68.93,71.2,69.9,60,60,438,627
